Timestamp,Username,Your Name (first and last),What grade are you currently in?,"U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Advanced Chess]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [** Basketball **]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Being Lost and Found]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Biological Illustration]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Ceramics]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Drop Everything and Read]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Fantasy Football and the Politics of the NFL]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Hip Hop Evolution, Music and Culture]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Intro to Go]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Jigsaw Puzzles]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Knitting]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Makeup Magic & Discovery]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [MD in the Making]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Model UN Team]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Modern Tarot Card Reading]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [The Neurobiology of Stress and Pleasure]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Publication and Zine]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Spoon School (Woodworking)]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Tree Frog Treks]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Urban Jazz Jam]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [Urban Sessions]","U1 ELECTIVES - Please rank your 1st, 2nd, 3rd, 4th, 5th, and 6th choices for elective U1 this coming winter. Choose thoughtfully. Those with ** will fulfill 1/2 physical activity credit.   [** Ultimate Frisbee **]"
,,Student 1,12th,6,,,,2,3,,,,,,,,1,,,,4,5,,,
,,Student 2,10th,3,,,,4,,,,,5,,,,,,,,1,,2,,6
,,Student 3,12th,,,,,1,3,,,,6,4,5,,,,,,,2,,,
,,Student 4,9th,4,,,,1,4,,,,,,,6,4,,,,1,,,,2
,,Student 5,11th,,,,,,,,,,,,,,1,,,,,,,,
,,Student 6,12th,,,,,5,4,,,,,,3,,,1,,,6,2,,,
,,Student 7,12th,,,,,5,4,,,,,,3,,,1,,,6,2,,,
,,Student 8,9th,,,,,3,,,,,,,,,,,5,4,2,1,6,,
,,Student 9,12th,,5,,,4,,,,,,,,3,,,1,,2,,,,6
,,Student 10,12th,,3,,,,2,1,,,5,4,6,,,,,,,,,,
,,Student 11,11th,,,,3,,1,,,,,6,,,,,,,5,2,,,4
,,Student 12,12th,,,,,1,,,2,,,3,,,,5,6,4,,,,,
,,Student 13,9th,3,,,,1,,4,,,5,2,,6,,,3,,,,,,
,,Student 14,9th,,1,6,,,,5,4,,,,,,,,,,3,,,,2
,,Student 15,11th,,,,5,3,,,6,,,,2,,,,4,,,,1,,
,,Student 16,12th,,6,,,,4,1,,5,,,,,,,,,2,3,,,6
,,Student 17,10th,,4,,,6,,5,,,,,,,,,,,3,2,,6,1
,,Student 18,10th,,6,,,4,,5,,,,,,,,,,,,3,1,,2
,,Student 19,12th,4,,3,,1,,5,,,,6,,,,,,4,2,,,,
,,Student 20,10th,,,6,,4,6,,5,5,,,,,,,,,1,2,,,3
,,Student 21,10th,,,,,,3,,,1,,,,,6,5,2,,,4,,,
,,Student 22,10th,,,,5,2,,,,,,6,,,,3,,,4,1,,,
,,Student 23,12th,2,,,,,3,1,,,6,,,,,5,,,4,,,,
,,Student 24,12th,,,,,,1,,,6,,,,,4,5,,,3,,,,2
,,Student 25,11th,,,6,,,2,,,,,5,,3,,4,,,,1,,,
,,Student 26,12th,,2,,,,,,,,,,,1,,,6,,5,4,,,3
,,Student 27,12th,,,,,,4,,,,,3,5,,1,2,,6,,,,,
,,Student 28,10th,,,,,4,,,3,,,,,,,,,,1,2,,,5
,,Student 29,9th,,1,,,,,,2,,,,,,,,,,,,,,
,,Student 30,11th,,,,,3,4,,,,,2,,,,6,,5,1,,,,
,,Student 31,12th,,,,,1,,,,,,3,,,,2,4,,5,6,,,
,,Student 32,10th,,,6,3,1,,,,6,,4,,,,,,,2,,,,5
,,Student 33,11th,,,5,,4,1,,,6,,3,,,,2,,,,,,,
,,Student 34,12th,,,,6,1,,,,,,,,,,,4,,2,5,3,,
,,Student 35,11th,,,,,,,,,5,4,1,,,,6,3,,,,,,2
,,Student 36,9th,,,,,2,1,,,4,,3,,,,,6,,5,,,,
,,Student 37,10th,,,,3,,,,2,6,,,,,,4,,,5,,1,,
,,Student 38,11th,,,,1,2,3,,,,,6,,,,5,4,,,,,,
,,Student 39,10th,,,4,2,,3,,,,,,,5,,,6,1,,,,,
,,Student 40,9th,5,,,,,4,,,,,,,,,,,,,1,6,3,2
,,Student 41,12th,,,,,3,,,4,,5,4,,,,1,6,,,2,,,
,,Student 42,9th,6,,,,3,,,,,2,4,,,,,,,1,,,,5
,,Student 43,12th,,,,,2,,,,,,,,,,,,,3,,1,,
,,Student 44,12th,,,,,3,,,,,,,,,,,,,,4,1,2,
,,Student 45,12th,6,,,,3,5,,,,,,,,6,,,,4,,1,2,
,,Student 46,12th,,,,,3,5,,,,6,,,,,,,,4,,1,2,
,,Student 47,12th,,,6,,5,4,,,,,2,,,,1,,,3,,,,
,,Student 48,12th,,2,,6,,1,5,,,,,,,,,4,,,,,,3
,,Student 49,12th,,,,,6,,,,,4,,,5,1,3,,,2,,,,
,,Student 50,10th,,,,4,3,,,,,,2,,1,,5,6,,,,,,
,,Student 51,9th,,,,,1,6,,,2,,,,,,,3,,4,5,,,
,,Student 52,10th,,,,,1,2,,6,,,3,,,,5,,,4,,,,
,,Student 53,11th,,,,6,6,3,,,2,,,,4,,,4,,,,,,1
,,Student 54,10th,,,1,,,,,,6,,3,5,2,,,4,,,,,,
,,Student 55,10th,,,,,4,,,2,,,,3,1,5,,,,,,,,
,,Student 56,9th,4,2,,,5,6,,3,,,,,,,,,,,,,,1
,,Student 57,9th,4,2,6,,5,,,3,,,,,,,,,,,,,,1
,,Student 58,10th,,,,,,6,,,,2,1,3,,,3,,,5,,,,
,,Student 59,10th,,,,,5,1,,,,,,,4,,,,3,2,,,,6
,,Student 60,10th,,1,,3,2,4,,,,,,,5,,,,,6,,,,
,,Student 61,9th,,5,,,6,,4,,,,,,,,,3,,1,,,,2
,,Student 62,10th,,,,,4,3,,,,1,6,,5,,,,,2,,,,
,,Student 63,9th,,,,,1,5,,,,4,3,,,,,,,2,6,,,
,,Student 64,9th,,,,,2,,,,,5,1,6,,,,,,4,,,,
,,Student 65,11th,,,,,5,1,,,6,2,,4,,,3,,,,,,,
,,Student 66,10th,1,,,,6,5,2,,,,,,,,,,,3,,4,,
,,Student 67,9th,,,,5,1,3,,,,,2,4,,,,6,,,,,,
,,Student 68,12th,,,,,4,1,,3,,,2,,,,5,6,,,,,,
,,Student 69,12th,5,6,2,,,3,,,4,,,,,1,,,,,,,,
,,Student 70,12th,,,,3,4,2,,,5,6,6,,,,,,,,1,,,
,,Student 71,9th,,2,,,,,1,,4,,,,6,,,,,5,,,,3
,,Student 72,12th,,,,4,1,,,,,6,2,,,,,,,3,5,,,
,,Student 73,10th,,,,,2,,,,,,1,,,,,,,3,,,,
,,Student 74,12th,,,,,3,4,,,,5,6,,,,1,,,,2,,,
,,Student 75,12th,,,,,6,,,,,5,2,,3,,,,,4,1,,,
,,Student 76,10th,,,,2,5,6,,,,,,,1,,,4,,3,,,,
,,Student 77,9th,,,6,,1,5,,3,,,,,4,,,,,2,,,,
,,Student 78,9th,,1,,,,6,2,5,,,,,,4,,,,,,,,3
,,Student 79,10th,6,,,,,,,,,,,,,,,4,,2,3,,,1
,,Student 80,9th,,,,,2,1,,,,5,4,,,,,6,,3,6,,,
,,Student 81,10th,,,,5,,,,,,4,6,,,1,,,,2,,,,3
,,Student 82,12th,,,4,3,,6,,,,,,,1,,,,5,,2,,,
,,Student 83,12th,3,,,,,4,,,,,,,5,,,,,,6,2,,1
,,Student 84,10th,,,,,,2,,6,,5,4,,,,,,,,3,1,,
,,Student 85,12th,,,,,3,1,,,2,6,,,,,,,,4,5,,,
,,Student 86,9th,,,,,3,,4,2,,,,,,,,,,1,,6,,5
,,Student 87,9th,,,,2,5,1,,,,,4,,,,,5,,6,3,,,
,,Student 88,10th,,,5,6,,2,,,,3,1,,,,,4,,,,,,
,,Student 89,11th,,,,1,2,,,,,4,5,3,,,,,,6,,,,
,,Student 90,12th,4,,3,,4,,,,,6,,2,5,,,1,,,5,,,
,,Student 91,10th,,,,,,,,,,6,5,3,,,1,,,4,,,2,
,,Student 92,11th,,,,,4,3,,,,,2,,,,,6,,1,5,,,
,,Student 93,12th,,,,,1,3,,,,,2,,,,6,4,,,5,,,
,,Student 94,10th,,,2,6,,1,,,3,4,,,,,,,,,,,,
,,Student 95,10th,,1,,,4,,2,3,,,,,,,,,,5,,,,6
,,Student 96,10th,,,,3,6,,1,,,,,,4,5,,,,1,,,,
,,Student 97,9th,,1,,,,6,4,3,,,,,,,,,,5,,,,2
,,Student 98,9th,3,2,,,,,6,5,,,,4,,,,,,,,,,1
,,Student 99,9th,,,3,,,,,,1,,,,,,,4,,2,5,,6,
,,Student 100,12th,3,,6,,5,1,,,4,,,,,,2,,,,,,,
,,Student 101,10th,,,,,1,,,,,,2,3,,,6,4,,5,,,,
,,Student 102,10th,,,2,3,,6,5,,,,,,,1,,4,,,,,,
,,Student 103,9th,5,2,,,,,4,,3,,,,,,,,,6,,,,1
,,Student 104,10th,,,,,3,,,,1,5,,,,,,,4,,,2,,6
,,Student 105,9th,,,,,,,,,6,5,3,1,,,,,2,,4,,,
,,Student 106,12th,,,,6,1,,,2,,,4,,,,3,5,,,,,,
,,Student 107,9th,1,,,,,6,,,,,,,,3,,5,,,4,,,2
,,Student 108,12th,,,,5,4,1,,,,,2,,6,,,3,,,,,,
,,Student 109,10th,,,,,1,,,5,,,3,,6,,,4,,2,,,,
,,Student 110,12th,,,,1,2,3,,,,5,4,6,,,,,,,,,,
,,Student 111,12th,,,,,6,2,,,,,,4,,,5,,,1,3,,,
,,Student 112,12th,,,,3,4,,,,,,1,,,,6,,,5,2,,,
,,Student 113,10th,,,,,3,2,,,,1,,,,,,5,,4,6,,,
,,Student 114,11th,,,,6,,,,,,,3,2,,,1,4,,5,,,,
,,Student 115,10th,,,,,2,,,,6,4,3,5,,,,,,1,,,,
,,Student 116,12th,,,,,2,,,,6,3,1,,,,5,,,,4,,,
,,Student 117,9th,4,1,,,,,3,5,,,,,,6,,,,,,,,2
,,Student 118,10th,,,4,,1,,6,,3,,2,,,,3,,,,,,,5
,,Student 119,9th,,,,,,4,,3,,,6,2,1,5,,,,,,,,
,,Student 120,12th,,,,,4,3,,,,5,1,,6,,,,,2,,,,
,,Student 121,12th,,2,,,,,1,,,,3,,,,,,,4,5,6,,
,,Student 122,12th,,,,,2,6,,,,,,,4,,,,,1,5,,,3
,,Student 123,11th,,,,,2,,6,,,,3,,5,,,,,1,,,,4
,,Student 124,10th,,1,,,6,,2,,,,,,5,,3,,,,,,,4
,,Student 125,12th,,,,,2,,,,,,1,,6,,,,4,5,3,,,
,,Student 126,12th,,6,5,4,3,,,,2,,,,,,,,,1,,,,
,,Student 127,12th,4,2,5,,6,,,,,,,,,,,,,3,,,,1
,,Student 128,12th,,,6,4,2,,,,,,,,3,,,,,5,1,,,
,,Student 129,9th,,6,,,1,5,,,,,4,,,,,3,,,,,,2
,,Student 130,9th,,,,,,,,,,6,5,2,1,,3,4,,,,,,
,,Student 131,9th,,6,,,,,,,,,,1,,,,,3,,4,2,,5
,,Student 132,12th,,,,,3,4,,,,6,6,,,,5,,,2,1,,,
,,Student 133,12th,,,,,2,5,,,,,6,,,,4,,,3,1,,,
,,Student 134,10th,,,,,,,,,,,5,,3,4,,6,2,1,,,,
,,Student 135,9th,,,,4,1,,,6,,,,5,,,2,,,3,,,,
,,Student 136,9th,,1,,,,,2,,,4,6,,5,,,,,3,,,,
,,Student 137,10th,,,,,5,4,,,1,3,,,6,,,,,,,,,2
,,Student 138,12th,6,4,,,5,,,,,,,,,,2,3,,1,,,,
,,Student 139,12th,,,,1,2,4,,,,,,,,,,6,,3,5,,,
,,Student 140,11th,1,,,2,,,4,,5,3,,,,,,6,,,,,,
,,Student 141,9th,,,,,,2,,,5,4,,,,,,,,3,,6,,1
,,Student 142,12th,,,,,5,6,1,,,,,,,,,,,2,3,,,4
,,Student 143,10th,,,,1,5,3,,,,,,,,,,,6,4,2,,,
,,Student 144,9th,,,,,5,,,3,,,,,,,,4,1,2,,,6,
,,Student 145,10th,,1,,,,,3,2,,,,,,,,,,6,,,,4
,,Student 146,9th,4,,,,5,2,,3,,,,,,,,,,6,,,,1
,,Student 147,9th,,,,,6,1,,,2,3,4,,,,,,,5,,,,
,,Student 148,10th,,,,,1,6,,,,,3,,,,,4,,2,5,,,
,,Student 149,12th,,,,,6,5,2,,,4,,,,,,,,1,3,,,
,,Student 150,9th,,,,,5,4,,,,,3,6,2,,,1,,,,,,
,,Student 151,12th,,4,,,5,1,,,,,,,,2,,6,,3,,,,
,,Student 152,9th,,,,4,2,3,,,,,,,6,,,,5,1,,,,
,,Student 153,10th,,,3,,,,,,6,2,,,,,,5,4,,,1,,
,,Student 154,9th,,,6,,3,,,5,,,,,,,2,,,4,1,,,
,,Student 155,10th,,,,1,,3,,,,,,6,,,4,,2,5,,,,
,,Student 156,9th,,5,,,2,,,1,,,,,6,,,5,3,4,,,,
,,Student 157,11th,,,6,4,3,5,,,2,,,,,,,,,1,,,,
,,Student 158,10th,,1,,,,,,,,5,,,3,,,6,,2,,,,4
,,Student 159,10th,,,,3,2,4,,,,,1,,,,,5,,6,,,,
,,Student 160,9th,,2,,,,,6,,5,,1,,,,,,,,,3,,4
,,Student 161,10th,,,4,,2,,,,1,,5,,3,,,6,,,,,,
,,Student 162,9th,,,,,2,,,3,6,,,,,,5,,,1,,,,4
,,Student 163,10th,6,,4,,3,,5,,,,,,,,,2,,1,,,,
,,Student 164,9th,,,,4,2,,,1,,,,5,,3,,,,6,,,,
,,Student 165,9th,,,,,3,4,,5,,,,,,,2,,,6,1,,,
,,Student 166,9th,,,6,,,5,,,,4,,,,,,,,1,2,,3,
,,Student 167,10th,,,,,4,,3,,,,5,,,,,,,1,2,,,6
,,Student 168,9th,,,,,4,,5,6,,,,,,,,,,1,2,,,3
,,Student 169,9th,,,,,2,3,,,6,,1,,,4,,,5,,,,,
,,Student 170,11th,4,1,,,,2,,,,,6,,,,3,,,5,,,,
,,Student 171,11th,,,,,1,,,2,,6,,,,,,,5,3,4,,,
,,Student 172,10th,4,,,,,,3,,,,6,,,,,5,,1,,,,2
,,Student 173,12th,,,,,6,,,4,,,,5,,,2,3,,,1,,,
,,Student 174,11th,,,,,5,4,,,,,1,,,3,6,2,,,,,,
,,Student 175,12th,5,,6,,2,1,,,,,,,,,,,,3,,4,,
,,Student 176,12th,,,,,,1,,,,,2,3,,,5,4,6,,,,,
,,Student 177,12th,,,1,2,6,4,,,3,,,,,,,,,,5,,,
,,Student 178,10th,,,,,,,,,5,,1,,2,,4,,,3,,,,
,,Student 179,10th,6,2,,3,1,,,,,5,,,,,,,,,,,,4
,,Student 180,12th,,,,,,,,,,,,,,1,,,,,,,,
,,Student 181,9th,4,4,6,6,5,4,6,4,4,5,5,3,3,3,3,2,5,2,4,1,5,4
,,Student 182,12th,,,,5,6,2,,,,,,,,,,,,3,,1,,4
,,Student 183,11th,4,,,,3,,,,,5,1,,,,,,,2,6,,,
,,Student 184,9th,5,4,,,6,,,,,3,,,,,2,,,,1,,,
,,Student 185,11th,6,3,5,,,,,2,,,,,,,,,,1,,,,4
,,Student 186,12th,,,,2,4,3,,,1,6,,,,,,5,,,,,,
,,Student 187,9th,,3,,,5,4,,2,,,,6,,,,,,,,,,1
,,Student 188,12th,3,,5,,4,6,,,,,,,,2,,,,,,,,1
,,Student 189,10th,,,,,2,,,,,,1,,,,3,,6,5,4,,,
,,Student 190,12th,,1,,,5,,4,2,3,,,,,,,,,,,,,6
,,Student 191,10th,6,1,2,,,,2,5,,,,,,,,,,,,,,4
,,Student 192,9th,,4,,,,,2,3,,,,,,,,,,,,,,1
,,Student 193,9th,,3,,,,4,2,5,,6,,,,,,,,,,,,1
,,Student 194,10th,,,,,1,2,,6,,,,,,,,3,,4,5,,,
,,Student 195,12th,4,5,6,,,,,,,,,,1,,,2,,,,,,3
,,Student 196,10th,,,6,,2,,,5,,,,,,,,,3,1,,,,4
,,Student 197,12th,5,4,,2,1,,,,6,,,,,,,,,3,,,,
,,Student 198,11th,,,,,3,,,,,5,4,,1,,,,,2,6,6,,
,,Student 199,12th,,1,,,,3,2,,,,,,,,,,,,4,6,,5
,,Student 200,12th,,,,,3,4,,,5,6,,,,,,,,1,,,,2
,,Student 201,12th,,,,4,1,,3,,5,,,,,,,,,,6,,,2
,,Student 202,12th,4,,6,,,,1,,,,,,,,5,3,,2,,,,
,,Student 203,12th,,,6,,,4,,,,5,1,3,,,2,,,,,,,
,,Student 204,12th,,,,6,5,,,,,,4,,,,,3,,1,2,,,
,,Student 205,12th,,,,,6,,,,,,5,,,1,2,,3,4,,,,
,,Student 206,12th,,,,3,1,2,,,,,4,,,,5,6,,,,,,
,,Student 207,9th,4,,,,,2,,,,,,,,5,6,,,1,,,,3
,,Student 208,10th,2,,,,,5,4,6,6,6,6,,,,,,,1,,,,3
,,Student 209,10th,,1,,,,,6,3,,,,,,,,,,5,4,,,2
,,Student 210,9th,,4,,,2,1,,,,,2,,6,,,,,5,,,,
,,Student 211,12th,,,,,2,1,,,,,,,,,3,,,5,4,,6,
,,Student 212,12th,,,,4,5,,2,,6,,,,,,,3,,,1,,,
,,Student 213,12th,,,,,6,,5,,,4,3,,2,,,,,,1,,,
,,Student 214,12th,,,,6,5,1,,,,,,,,,,4,3,2,,,,
,,Student 215,10th,,,,,3,1,,,,,4,6,,,,5,,2,,,,
,,Student 216,12th,1,,,4,5,3,,,,,6,,,,2,,,,,,,
,,Student 217,9th,,,,,1,,,,6,,2,,,4,5,,,3,,,,
,,Student 218,12th,,,,,1,6,,,,4,5,,,,,,,2,3,,,